N, nq, efc, efs, M, M_beta, gamma, recall, query_time, bitmap_time
1000000,1000,100,40,32,32,1,0.781,1.395, 81.321
1000000,1000,100,80,32,32,1,0.883,1.572, 76.899
1000000,1000,100,150,32,32,1,0.922,2.862, 78.242
1000000,1000,100,40,32,32,10,0.781,1.062, 72.884
1000000,1000,100,80,32,32,10,0.883,1.616, 74.832
1000000,1000,100,150,32,32,10,0.922,2.316, 76.073
1000000,1000,100,40,64,64,1,0.918,1.540, 70.426
1000000,1000,100,80,64,64,1,0.954,3.558, 74.845
1000000,1000,100,150,64,64,1,0.973,3.986, 75.151
1000000,1000,100,40,64,64,10,0.918,1.543, 79.069
1000000,1000,100,80,64,64,10,0.954,2.358, 75.156
1000000,1000,100,150,64,64,10,0.973,3.475, 75.039
