N, nq, efc, efs, M, M_beta, gamma, recall, query_time, bitmap_time
1000000,900,100,40,32,32,1,0.362,0.741, 94.377
1000000,900,100,80,32,32,1,0.421,1.168, 88.698
1000000,900,100,150,32,32,1,0.467,2.694, 89.587
1000000,900,100,40,32,32,10,0.362,1.398, 95.720
1000000,900,100,80,32,32,10,0.421,1.168, 96.649
1000000,900,100,150,32,32,10,0.467,2.776, 93.974
1000000,900,100,40,64,64,1,0.479,1.372, 98.346
1000000,900,100,80,64,64,1,0.538,1.972, 90.743
1000000,900,100,150,64,64,1,0.573,3.037, 85.334
1000000,900,100,40,64,64,10,0.479,1.318, 84.759
1000000,900,100,80,64,64,10,0.538,2.119, 83.451
1000000,900,100,150,64,64,10,0.573,3.066, 84.919
