N, nq, efc, efs, M, M_beta, gamma, recall, query_time, bitmap_time
1000000,1000,100,40,32,32,1,0.924,1.250, 82.833
1000000,1000,100,80,32,32,1,0.958,1.637, 80.175
1000000,1000,100,150,32,32,1,0.977,2.486, 83.621
1000000,1000,100,40,32,32,10,0.924,1.046, 82.161
1000000,1000,100,80,32,32,10,0.958,1.626, 82.311
1000000,1000,100,150,32,32,10,0.977,5.930, 80.169
1000000,1000,100,40,64,64,1,0.971,1.509, 79.559
1000000,1000,100,80,64,64,1,0.988,2.270, 81.903
1000000,1000,100,150,64,64,1,0.994,3.594, 82.144
1000000,1000,100,40,64,64,10,0.971,1.456, 81.059
1000000,1000,100,80,64,64,10,0.988,2.361, 73.263
1000000,1000,100,150,64,64,10,0.994,4.703, 79.384
